Id,Label,Year
64,"Elliott-Smith v Secretary of State for Business, Energy and Industrial Strategy et al.",2021
68,ClientEarth v Secretary of State,2021
72,Plan B Earth and Others v Prime Minister,2021
73,Attorney General v Crosland,2021
74,Attorney General v Crosland,2021
75,"R v Bramwell et al (""The Shell Six case"")",2021
59,Friends of the Earth v UK Export Finance,2022
63,Transport Action Network v Secretary of State for Transport and Highway England Company (on Roads Investment Strategy),2022
69,Butler-Sloss & Others v The Charity Commission for England And Wales & Another,2022
71,R(Goesa Ltd) v Eastleigh Borough Council (expansion of Southampton Airport),2022
76,R (On the Application of Cox & Others) v Oil and Gas Authority ,2022
77,Possible v Secretary of State for Transport; and GALBA v SST ,2022
79,R (Friends of the Earth) v Secretary of State for Business Energy and Industrial Strategy,2022
80,"R v Brown (Extinction Rebellion protest, London City Airport)",2022
83,"R v Brewer and others  (Just Stop Oil protest, Esso terminal, Birmingham)",2022
98,R (Finch on behalf of the Weald Action Group &amp; Others) v Surrey County Council (&amp; Others),2022
100,McGaughey & Davies v Universities Superannuation Scheme Limited,2022
102,"Global Feedback Ltd v Secretary of State for Environment, Food & Rural Affairs (challenge to the Food Strategy)",2022
115,R (Save Stonehenge World Heritage Site Ltd) v Secretary of State for Transport,2022
78,Transport Action Network v Secretary of State for Transport (A428 Black Cat Road Scheme),2023
81,R (Coal Action Network) v Welsh Ministers and Coal Authority,2023
84,"R (Bristol Airport Action Network) v Secretary of State for Levelling Up, Housing and Communities (expansion of Bristol Airport)",2023
85,"Protect Dunsfold Ltd v Secretary of State for Levelling Up, Housing and Communities; Waverley Borough Council v SSLUHC",2023
86,"Greenpeace Ltd v (1) Secretary of State for Business, Energy and Industrial Strategy and (2) the Oil and Gas Authority; and Uplift v (1) SSBEIS and (2) the OGA (North Sea oil and gas licensing)",2023
87,ClientEarth v Financial Conduct Authority (Ithaca Energy plc listing on London Stock Exchange),2023
88,Campaign to Protect Rural England v Secretary of State for Transport (challenge to the A57 Link Roads Development Consent Order 2022),2023
91,ClientEarth v Shell's Board of Directors,2023
92,ClientEarth v Shell's Board of Directors,2023
93,ClientEarth v Shell's Board of Directors,2023
101,McGaughey & Davies v Universities Superannuation Scheme Limited,2023
103,"Global Feedback Ltd v Secretary of State for Environment, Food & Rural Affairs (challenge to the Food Strategy)",2023
104,R (Boswell) v Secretary of State for Transport (A47 road extension),2023
107,"Frack Free Balcombe Residents Association v Secretary of State for Levelling Up, Housing and Communities",2023
113,R (Dawes) v Secretary of State for Transport (Manston Airport),2023
60,Transport Action Network v Secretary of State for Transport (on National Policy Statement),2024
70,Mair Bain v Secretary of State for Transport (The A38 Derby Junctions Development Consent Order 2021),2024
82,R (Coal Action Network) v Welsh Ministers and Coal Authority,2024
89,"Rights Community Action v Secretary of State for Levelling Up, Housing and Communities (Action Plan for Salt Cross Garden Village)",2024
90,"Friends of the Earth v Secretary of State for Levelling Up, Housing and Communities; and South Lakeland Action on Climate Change v SSLUHC (Whitehaven coalmine)",2024
94,"Marks and Spencer PLC v Secretary of State for Levelling Up, Housing and Communities",2024
95,"Attorney General's Reference on a point of law concerning the scope of the ""lawful excuse"" defence for the offence of criminal damage",2024
99,R (Finch on behalf of the Weald Action Group &amp; Others) v Surrey County Council (&amp; Others),2024
105,R (Boswell) v Secretary of State for Transport (A47 road extension),2024
106,R (Boswell) v Secretary of State for Transport (A47 road extension),2024
111,R(Friends of the Earth Ltd) v Secretary of State for Energy Security and Net Zero; ClientEarth v SSESNZ; Good Law Project v SSESNZ (challenges to the Carbon Budget Delivery Plan),2024
112,Shell v Greenpeace,2024
116,R (Save Stonehenge World Heritage Site Ltd) v Secretary of State for Transport,2024
